csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
35407.17578125	n/a	n/a	1253668096.8043365	25689.212890625	n/a	n/a	659935658.9398537	25641.337890625	n/a	n/a	657478208.8212013	n/a	n/a	n/a	0.0318431404	0.0506728116	0.0440473681	-0.0866185757	-0.022570163100000002	-0.0888198092	0.0416624054	-0.0515378839	0.0296886833	0.0921477028	-0.06947704610000001	0.048426036500000005	-0.0949762073	0.0277808481	-0.052423934500000005	0.1586572768	-0.1100275809	0.0316453867	-0.0003358925	0.008892120699999999	0.0802335047	-0.0128760956	0.0873708552	-0.06699159860000001	0.0548244147	-0.10918223630000001	0.11148484119999999	-0.0568477289	0.0629867736	-0.0232074687	0.007319806	-0.09832005939999999	0.0350854789	-0.10102018199999999	0.0416146552	-0.07829121530000001	0.13128796980000002	-0.0058586938	-0.2679799063	0.053742529299999994	-0.020931341399999998	-0.042000569800000005	0.0149822072	-0.08349127349999999	0.0555171316	-0.0749377056	0.0178875591	-0.0166469806	0.0912528918	-0.049364299800000004	0.062263106900000004	0.004086132	-0.0141370666	0.0299799405	-0.09714398449999999	0.08414779130000001	-0.0032326309999999997	0.0885515971	-0.1543613161	0.0300354141	-0.0410849237	0.0396162826	-0.0027226168	-0.0854376356	0.0618011535	0.0961453927	-0.0811389998	0.0479833604	-0.0529091775	0.15146053210000002	-0.10370500939999999	0.12667734279999998	-0.0289918883	0.0309921912	-0.1489522843	0.0320231587	-0.03503985	0.0886434057	-0.0355325495	0.13379620890000002	-0.1646283989	0.0500460821	0.111798011	0.11178184769999999	0.1117549107	0.1117172025	-0.05676530000000001	n/a	n/a	0.003222299284090001	-0.0130542	n/a	n/a	0.00017041213764	-0.0818075	n/a	n/a	0.006692467056250001	-0.00135019	n/a	n/a	1.8230130361e-06	2.83657e-23	n/a	8.0461293649e-46	n/a	-0.00013081399999999998	n/a	1.7112302595999995e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35486.671875	79.49609375	6319.628921508789	1259303880.763916	25685.552734375	-3.66015625	13.396743774414062	659747619.270359	25641.146484375	-0.19140625	0.0366363525390625	657468393.0331764	1.282459	20.664351	0.034263596	-0.0142679278	-0.0527371262	-0.0250364984	0.0302359592	-0.024297448	-0.0763983037	-0.0626702387	-0.060661293899999996	-0.008473078	-0.0801356212	-0.0132643733	0.1165202788	0.0075251626	-0.0319194545	-0.07178285549999999	0.040570783900000004	-0.08685616300000001	-0.07991786570000001	0.1225043899	-0.11111831400000001	0.1034051404	-0.0653558045	0.0020257498999999997	0.0102325486	-0.08335153049999999	-0.1072281561	-0.1471537963	-0.0660201372	-0.0621644744	0.0501074402	0.1160184036	-0.0261213069	-0.0417169371	-0.0776237664	0.062047064299999996	-0.0115315796	-0.0823491735	0.1206246509	0.0781722605	-0.0027151353999999997	-0.0171649626	0.0572762996	0.023138891600000003	-0.0290217148	-0.0939565909	0.053198641500000005	0.0625778666	-0.0229527869	0.0862835661	0.023824825499999997	0.040055847400000004	-0.0841088589	-0.0579025592	0.08682723640000001	0.005597690600000001	0.025265632799999996	-0.0813945267	0.0489495007	-0.0361777948	0.12788041	-0.0285621886	0.1179241229	-0.16896888559999998	-0.0926650185	0.05038685019999999	-0.012052621599999999	0.024212937200000003	-0.0161482575	0.13253069039999998	-0.0832797836	-0.0217620413	0.0388001794	0.044283623099999996	-0.0721986425	0.0849984875	-0.0021492037	-0.0037463326	0.0467152144	-0.0288127667	-0.0271672203	0.0182724475	-0.22944969129999998	0.1117549107	0.11160948820000001	0.1113672575	0.11102842880000001	-0.05676669999999999	-1.399999999984747e-06	1.959999999957291e-12	0.0032224582288899986	6.5046e-05	0.013119246000000001	0.00017211461560851597	4.230982116e-09	-0.081817	-9.499999999995623e-06	9.024999999991684e-11	0.006694021489	-0.00169397	-0.00034377999999999986	1.1818468839999996e-07	2.8695343609e-06	-0.0	-2.83657e-23	0.0	8.0461293649e-46	-0.000209703	-7.888900000000001e-05	4.3975348209e-08	6.223474321000003e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35402.21875	-84.453125	7132.330322265625	1253317092.4228516	25660.443359375	-25.109375	630.480712890625	658458353.3996925	25638.595703125	-2.55078125	6.5064849853515625	657337589.6282997	1.3393910000000002	21.581696	0.009324036000000016	0.10297870220000001	-0.0866723689	0.028805526	-0.1010553134	-0.090623824	-0.0166594982	0.0066686764	-0.0995530175	-0.0323102961	0.0973699545	0.0111382251	0.1185695999	-0.0260615404	0.10063411380000001	0.1042023517	0.0553688376	-0.030978380099999998	-0.0011020483	0.1449597861	0.024839290899999998	-0.12164474460000001	0.0341160841	0.1015765207	0.0480923984	0.0376713831	0.1099922599	-0.016949465	-0.058299033499999986	0.0051021612	0.0749444909	0.0596653301	-0.0012113832	0.0252403395	-0.0253168387	0.020664822700000002	-0.10808809400000001	-0.0210982025	0.059482973099999996	0.0100145746	-0.0787360825	-0.1324776923	0.0616756531	-0.0029957671000000003	-0.1416094585	-0.024588008999999997	0.0220702538	0.1285386539	-0.08746535720000001	0.0165572873	-0.0166458425	0.1172839217	0.024347232599999998	0.0129757909	0.10935187980000001	-0.029027301800000002	-0.015122891999999999	0.1127980221	-0.0588835734	-0.043843556	0.0214309287	-0.0689919986	0.1641943264	0.0740624292	0.1240926983	0.0237813848	0.0499492021	-0.0501145567	-0.0101497366	-0.09591605859999999	-0.10596664199999999	-0.0015008813	0.055259288200000006	-0.014694006200000003	-0.0558706863	0.045474546	-0.0245981431	-0.043591427099999996	0.0130194588	-0.064527802	0.008582920899999999	-0.061915932300000004	0.0186297148	0.11166872679999999	0.111265035	0.1105932959	0.1096551279	-0.0567647	1.9999999999950613e-06	3.999999999980245e-12	0.0032222311660899997	-0.00774709	-0.007812136	6.1029468882495996e-05	6.00174034681e-05	-0.0818171	-1.0000000000287557e-07	1.0000000000575113e-14	0.006694037852410001	-0.00171246	-1.849000000000013e-05	3.418801000000048e-10	2.932519251600001e-06	9.8581e-24	9.8581e-24	9.718213561e-47	9.718213561e-47	-0.000221409	-1.1706000000000025e-05	4.902194528100001e-08	1.3703043600000063e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35497.9375	95.71875	9162.0791015625	1260103566.7539062	25701.466796875	41.0234375	1682.9224243164062	660565395.5108682	25646.59765625	8.001953125	64.03125381469728	657747971.341568	1.252589	20.18305	0.02662405999999999	-0.0120524958	-0.0638313903	-0.0699235122	-0.1731538444	-0.0041131818	-0.0033351098	0.0291731575	-0.0855934179	0.0517082443	-0.024303841899999998	0.0377898946	0.0751376104	-0.0756165489	0.08694943289999997	-0.061814748899999994	0.134708366	0.0235242315	-0.0445801824	0.0844809592	0.1106307117	0.0206911893	0.022003445	-0.048620698	0.1177878031	-0.027852468199999997	-0.1450279051	0.0419954004	0.067361456	0.0270747761	0.04691296019999999	0.0076858108	0.1349912814	0.0173836001	0.0180444045	-0.12172506820000001	0.039489080499999996	0.0146338568	0.0719001196	0.0845110593	-0.07931007059999999	0.0203567673	0.0585446592	0.09996540890000001	-0.1974168539	0.0098277729	0.07761108559999999	-0.0192639971	-0.0010254355999999999	-0.0015119113	-0.036254464199999996	0.0702441455	0.022247945699999997	-0.0027479952	0.07185533059999999	-0.019971312800000002	0.0519995883	-0.0863376327	-0.0266177517	-0.10970989169999999	0.0324535305	0.0235501083	0.1036845253	0.0916744805	-0.0493698763	0.0119443023	0.0632357733	0.159602229	0.1107184784	0.0737408802	-0.000876892	-0.0186743686	-0.0674086352	0.027052697400000002	-0.0445314298	0.0175631416	-0.1247634436	-0.0295477843	-0.009433370600000001	0.040984788599999995	-0.0375756502	-0.0481430605	0.048581552	0.1115394925	0.1107490191	0.1094357105	0.1076057667	-0.0567725	-7.800000000009187e-06	6.084000000014334e-11	0.0032231167562500004	-0.020652	-0.01290491	0.00016653670210810002	0.000426505104	-0.081819	-1.8999999999991246e-06	3.609999999996674e-12	0.006694348761	-0.00176524	-5.277999999999989e-05	2.785728399999988e-09	3.1160722576e-06	-0.0	-9.8581e-24	0.0	9.718213561e-47	0.0	0.000221409	0.0	4.902194528100001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35482.96484375	-14.97265625	224.1804351806641	1259040794.1027985	25726.681640625	25.21484375	635.7883453369142	661862148.2380714	25651.44921875	4.8515625	23.53765869140625	657996847.02211	1.272549	20.504663	0.060773837099999985	0.032896350899999996	-0.162099326	-0.0021997334	0.0388350114	0.0474968398	0.0892884603	0.0018118817999999998	-0.08409017369999999	-0.12359422789999999	-0.024107609	-0.0564234387	0.0552724239	0.1055764793	0.09884378070000001	-0.19912619539999998	0.0794629666	0.10294993470000001	0.044780576600000004	0.1054844431	-0.0810196139	0.0051117712	-0.0848239516	-0.0832115825	0.011289023700000001	0.1267074157	0.1063516349	-0.004881099	-0.0548552946	-0.0245407996	0.1274043266	-0.0988132361	-0.0631523625	0.1535967745	0.06862945200000001	-0.0888743257	0.053690330099999996	-0.0414953683	-0.0779062715	0.0158193966	0.1321505766	-0.06558462179999999	0.1541151859	0.0154413418	0.0011454333999999999	-0.0674021482	0.0566485653	-0.1443924161	0.048476022800000004	-0.0832165287	-0.0101419088	0.0671719368	-0.130439418	0.058334468499999986	0.0536954413	-0.0852966609	-0.1127798602	-0.20704242579999999	-0.026205150099999998	-0.0387537963	-0.0691287983	-0.0158680168	0.127470843	-0.030856136699999998	0.0407111383	0.025289388599999997	-0.11542859609999999	-0.0589568348	0.013092479399999999	-0.029244971499999998	-0.11591861619999999	-0.0373279507	0.013677033600000001	-0.18654252829999998	0.035417061	-0.08699045679999999	-0.089713461	0.0027168362	-0.0528767266	0.1358448598	0.005997296700000001	0.0889619448	0.046573968	0.1113672575	0.1100622363	0.1078985167	0.1048929802	-0.0479237	0.008848800000000004	7.830126144000007e-05	0.00229668102169	3.87721e-05	0.0206907721	0.0004281080500941384	1.5032757384099999e-09	-0.0818195	-5.000000000005e-07	2.5000000000050007e-13	0.00669443058025	-0.00142872	0.0003365199999999999	1.1324571039999993e-07	2.0412408384e-06	6.41793e-05	6.41793e-05	4.118982548490001e-09	4.118982548490001e-09	-0.000223976	-0.000223976	5.0165248576e-08	5.0165248576e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35548.09765625	65.1328125	4242.283264160156	1263667246.9782867	25696.140625	-30.541015625	932.753635406494	660291643.0197754	25612.9453125	-38.50390625	1482.550796508789	656022967.5811157	1.197948	19.30261	0.031874223900000005	0.051033708600000005	-0.07117424809999999	0.0146102725	-0.1537578315	0.0044287196000000004	0.019758768	-0.009216485699999999	-0.1494598384	0.1179339426	0.059650975599999996	-0.1630886251	0.10127143820000001	-0.1113700056	0.1300893544	-0.1209921458	-0.0285098056	0.07764535639999999	0.0129239115	0.06452313	0.011051171	0.0834783647	-0.0695571129	-0.1105120571	-0.0566578529	0.039410093	-0.0182054246	-0.013292048999999998	0.1382259743	0.0999230984	-0.0415812464	0.040390235	-0.022303666099999998	0.0152309053	0.1188576583	0.1125193974	0.0970515468	-0.0875048336	0.1325974581	-0.05711630190000001	0.0560014049	-0.0294047714	0.0682047383	0.002430031	-0.11631284720000001	0.11636410529999999	0.11519912189999999	0.049524297300000006	0.006480078100000001	0.000983968	-0.0085774214	0.1541793413	0.008238829599999999	-0.1701093306	0.0682047197	-0.2109350144	0.0344676625	-0.072118969	-0.09200784619999999	-0.027464629900000002	-0.052491169299999994	0.0609994024	0.0623246057	0.051302298600000004	-0.1324651632	-0.0100762844	-0.09592441439999999	0.0404264605	0.1267662503	0.0421274642	0.0447895258	0.114888042	0.0179393125	0.0277153954	0.0081819786	-0.1342592326	0.07716207530000001	-0.039082293	-0.0004778136	-0.0467301491	-0.17002767100000002	0.071273709	-0.10212637949999999	0.1111520884	0.10920574539999996	0.1059870468	0.1015334935	-0.0514794	-0.0035557000000000023	1.2643002490000013e-05	0.00265012862436	1.25732e-05	-2.6198899999999997e-05	6.863823612099999e-10	1.5808535824e-10	-0.08177869999999997	4.0800000000035246e-05	1.6646400000028767e-09	0.006687755773689995	-0.00100723	0.0004214900000000001	1.7765382010000004e-07	1.0145122729e-06	-6.12592e-05	-0.00012543850000000002	3.7526895846400006e-09	1.5734817282250006e-08	-0.000205874	1.8101999999999984e-05	4.238410387600001e-08	3.2768240399999935e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35568.69140625	20.59375	424.1025390625	1265131808.3530426	25679.279296875	-16.861328125	284.304386138916	659425385.206913	25637.95703125	25.01171875	625.5860748291017	657304840.7362213	1.222806	19.703154	0.0714369368	-0.0458471821	-0.048410426500000006	-0.047039603099999994	0.0225268443	-0.0530330454	0.0291682434	0.0366593979	-0.0898678927	0.0461871557	-0.11877178199999999	0.0515869583	0.0988132043	0.019586610600000002	-0.0085259788	-0.057623527199999997	0.0165619962	-0.0720593788	-0.0604848798	-0.04758826360000002	0.0609040488	0.12376884869999999	0.059071981399999994	0.1319214346	-0.016469479199999998	-0.11517970039999999	0.06763586070000001	-0.0130008811	0.1915332341	0.022867392900000002	-0.0394276625	-0.1328821105	0.0566141962	0.0377626249	0.0125568173	-0.039344370499999996	-0.1213957215	-0.0791307153	-0.0410013405	0.1129698715	-0.0287262889	0.021147489300000002	0.05795979530000001	0.062055245499999995	-0.09058498039999999	-0.13292221869999998	0.12142159849999999	-0.024743034100000002	-0.053173182699999995	-0.030155979	-0.0517887067	0.054916166399999994	-0.0352669516	-0.0710901215	0.0655949157	0.0606685194	0.0375029645	-0.0920651343	0.0143417712	0.0061593092	0.1545377742	-0.0491226859	-0.09381896640000001	0.0986425094	-0.11537334869999999	-0.0207335894	0.1453123233	0.037677056	-0.1174579365	-0.0047111043	0.0253524625	0.1751219396	-0.0894514482	-0.1014373482	0.0703810597	0.048435819500000005	-0.0027678826	-0.0938099426	0.0512227122	-0.0665645991	0.0823549504	0.084617795	-0.0155091262	0.11089406800000001	0.10818086730000001	0.1037079311	0.09754801910000001	-0.05676820000000001	-0.005288800000000003	2.7971405440000038e-05	0.003222628531240001	0.0294343	0.029421726800000002	0.0008656380078938383	0.00086637801649	-0.0646286	0.017150099999999974	0.00029412593000999914	0.004176855937959999	-0.000894692	0.00011253800000000005	1.2664801444000006e-08	8.00473774864e-07	-0.0	6.12592e-05	0.0	3.7526895846400006e-09	-0.000423603	-0.00021772900000000006	1.7943950160900003e-07	4.7405917441000006e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35444.5390625	-124.15234375	15413.804458618164	1256315349.3530884	25711.515625	32.236328125	1039.180850982666	661082035.7346191	25713.18359375	75.2265625	5659.035705566406	661167810.5258943	1.320047	21.270002	0.25739146	0.1068091048	-0.04406912650000002	0.0940363492	0.0189962327	-0.014113704	-0.0507438965	0.0956590327	-0.062361172	-0.1217206574	-0.0574022215	-0.0046455926	0.0046724073	-0.0244419064	-0.0408338771	0.0740071142	0.0120232958	-0.0693721864	0.0318179475	-0.010764164599999999	0.0758130863	0.0142329008	0.0326285475	0.0320761239	0.0406720096	0.14669245150000002	0.07616678730000001	-0.1243337293	0.0881739409	-0.0002150114	0.015080331899999999	0.0714180838	-0.1593374173	-0.0322858471	0.1628003152	0.042856875499999995	-0.1289656054	0.056377408399999995	0.0670286516	0.0961806802	-0.1226359958	-0.1191037968	0.011091588500000001	-0.050690919	-0.0490814895	-0.039259226099999996	0.0994227729	-0.10342008109999999	-0.0111030672	0.0339118993	-0.1074163132	0.0180763762	-0.1003704062	0.046941352	0.025832587799999997	0.0491276076	0.0636262024	0.0799019405	0.0514842645	-0.0122712336	0.0288559921	-0.0397680603	-0.030933017	0.08387782690000001	-0.0063148579	-0.0138129768	-0.0045494587	-0.0778994115	0.0775061331	-0.023941372000000002	-0.16781815100000005	0.0765579368	0.1310372192	0.0095556069	0.0012101062	0.021490999500000003	0.163637555	0.0852968799	0.0391256166	-0.12864776039999998	-0.10064396619999999	0.068263399	0.16830665399999994	0.1105932959	0.10698918210000001	0.10106907550000001	0.09296112869999999	-0.0408094	0.015958800000000002	0.00025468329744000005	0.0016654071283600002	-0.0353959	-0.0648302	0.0042029548320399995	0.0012528697368100002	-0.0244965	0.04013209999999999	0.0016105854504099993	0.00060007851225	-0.00304668	-0.002151988	4.631052352144e-06	9.2822590224e-06	-0.000172647	-0.000172647	2.9806986609e-08	2.9806986609e-08	-1.88308e-05	0.0004047722	3.5459902864e-10	1.6384053389284006e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35576.51171875	131.97265625	17416.781997680664	1265688186.074356	25696.74609375	-14.76953125	218.13905334472656	660322759.8066559	25731.427734375	18.244140625	332.8486671447754	662106373.249363	1.110983	17.901347999999995	0.16993479000000006	0.0091603741	0.036650469	0.1580718532	-0.0830483796	-0.039782908799999996	0.0359685589	0.168473006	-0.0394926436	-0.0209961119	-0.1296176211	-0.0365607177	-0.002240799	-0.0438693404	0.0476595231	-0.1370698194	0.0705747511	0.0180083971	0.041576795	0.0347866781	-0.0813802254	-0.13943576900000001	0.04651571980000002	0.0019033498000000002	0.1267795429	0.031143328199999997	-0.1082699243	-0.056911744000000014	0.0392477988	0.0328690722	0.0054748372	-0.0926888339	-0.0227593874	0.0036102871000000003	0.144921897	-0.0983688764	0.0520845776	-0.016026564099999998	-0.1353586116	0.0013882163	-0.0425467643	-0.0109099325	-0.0487995575	-0.0981572856	-0.14992023	0.024867173399999998	0.0116635644	-0.0589523178	-0.0417514222	-0.0491733394	-0.1834205016	-0.0387551768	-0.1019331148	0.010527270200000001	-0.0126523271	-0.0599463943	0.041112162	-0.14927569599999999	-0.0197565848	-0.0435841508	-0.021820959700000003	-0.100155883	0.0234118375	-0.0293324	0.1348150538	-0.0089404239	0.0574175983	0.0691955214	0.09857293730000001	0.1109225435	-0.006551008499999999	0.039648264	-0.0084988912	-0.029516169900000007	0.049863489500000004	-0.057923867999999996	0.031190747999999997	0.08953185710000001	-0.16481900189999998	0.0575141285	0.0583610659	0.0110399829	0.0493489583	0.1102498879	0.1056325273	0.0980796336	0.08780110210000001	-0.031934	0.008875400000000006	7.877272516000008e-05	0.0010197803559999995	0.0172764	0.052672300000000005	0.002774371187290001	0.00029847399695999996	-0.0568467	-0.0323502	0.0010465354400399998	0.0032315473008899995	-0.00171467	0.00133201	1.7742506401e-06	2.9400932089e-06	-1.3234899999999996e-23	0.000172647	1.751625780099999e-46	2.9806986609e-08	-3.49116e-05	-1.60808e-05	1.2188198145600001e-09	2.5859212864e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35868.96875	292.45703125	85531.11512756348	1286582919.1884766	25711.201171875	14.455078125	208.94928359985352	661065865.7006264	25696.400390625	-35.02734375	1226.914810180664	660304993.0353128	1.3748049999999998	22.152323000000006	0.11233547	-0.1740351239	-0.1089375181	0.021616487799999997	-0.0015681272	0.009372808	0.0070333722	-0.0204349728	-0.099589297	-0.04369854150000002	-0.1224043893	0.16966755530000002	0.0295974208	-0.0747174989	0.0866255319	0.007816986	-0.0304822511	-0.0606020668	0.0880985832	-0.061242819000000004	0.138054971	-0.0398837002	-0.0482271583	-0.1573910348	-0.0443967037	-0.09009769039999999	-0.0510287226	-0.005554420799999999	-0.0235782015	0.0493599283	0.0892051326	-0.0437269567	0.0567017805	0.0305069468	-0.09483182109999999	0.0402373184	0.0871293182	-0.10071929369999999	-0.0247156548	0.0965328089	0.136255953	0.15304846800000002	0.13829268990000002	-0.0032193696000000003	-0.0292294663	-0.06165848650000001	0.046889683	0.0255210731	0.0016308407000000002	0.0078246997	-0.028596008399999998	0.056235253	-0.0380400436	0.1315941342	0.06919220179999999	0.0030839998	0.08530124720000001	0.0571354411	-0.0489204046	0.046256122000000004	0.0758015983	-0.0699618562	-0.0814809999	0.099326145	-0.0644403472	0.0035738009999999997	-0.14753161369999998	0.12992291039999998	0.0020005764	0.1239259985	0.0365056508	-0.097432911	0.0108100141	-0.0983746833	-0.06628991070000001	0.054872654900000005	-0.1763475875	-0.09402474150000001	0.022988477900000002	0.08782334050000001	-0.028910349300000002	0.068273767	-0.0690607949	0.1098639765	0.10411299480000001	0.094749975	0.0820997524	-0.0318499	8.409999999999668e-05	7.072809999999441e-09	0.00101441613001	-0.032162	-0.049438400000000014	0.0024441553945600014	0.0010343942440000002	-0.0322451	0.024601599999999998	0.0006052387225599999	0.00103974647401	-0.00145519	0.0002594799999999999	6.732987039999991e-08	2.1175779361e-06	-0.000410917	-0.000410917	1.6885278088899994e-07	1.6885278088899994e-07	-0.000128742	-9.38304e-05	1.6574502564e-08	8.804143964159998e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
