name	intensity-avg	volume
Left-wm-bankssts	98.5529	3517.2
Left-wm-caudalanteriorcingulate	102.8237	2123.3
Left-wm-caudalmiddlefrontal	96.6873	5157.8
Left-wm-cuneus	93.2402	2824.3
Left-wm-entorhinal	84.6402	1224.5
Left-wm-fusiform	91.0582	6415.6
Left-wm-inferiorparietal	96.7773	9940.5
Left-wm-inferiortemporal	87.6961	6871.5
Left-wm-isthmuscingulate	100.2772	3703.2
Left-wm-lateraloccipital	91.7352	11341.2
Left-wm-lateralorbitofrontal	95.1011	6519.1
Left-wm-lingual	86.9225	4439.6
Left-wm-medialorbitofrontal	92.8534	4058.3
Left-wm-middletemporal	91.2578	5817.3
Left-wm-parahippocampal	88.5851	1299.4
Left-wm-paracentral	95.7291	3609.7
Left-wm-parsopercularis	97.5144	3406.5
Left-wm-parsorbitalis	87.3125	942.4
Left-wm-parstriangularis	98.7207	3011.1
Left-wm-pericalcarine	90.6279	3543.2
Left-wm-postcentral	92.9801	5980.5
Left-wm-posteriorcingulate	101.5888	5022.7
Left-wm-precentral	95.8533	12112.3
Left-wm-precuneus	96.902	8730.5
Left-wm-rostralanteriorcingulate	100.1382	1852.0
Left-wm-rostralmiddlefrontal	96.4106	10758.4
Left-wm-superiorfrontal	94.051	17363.0
Left-wm-superiorparietal	95.8503	11749.3
Left-wm-superiortemporal	94.0074	6348.1
Left-wm-supramarginal	97.1425	5817.4
Left-wm-frontalpole	87.0286	278.5
Left-wm-temporalpole	75.3428	794.5
Left-wm-transversetemporal	98.7737	972.8
Left-wm-insula	93.7937	8624.1
Right-wm-bankssts	98.2775	3115.9
Right-wm-caudalanteriorcingulate	101.6457	2625.7
Right-wm-caudalmiddlefrontal	94.4802	4676.9
Right-wm-cuneus	92.2186	3321.1
Right-wm-entorhinal	79.9512	805.6
Right-wm-fusiform	90.7492	6201.0
Right-wm-inferiorparietal	93.8134	9741.1
Right-wm-inferiortemporal	88.5989	5222.6
Right-wm-isthmuscingulate	100.6011	3174.5
Right-wm-lateraloccipital	92.8876	11192.8
Right-wm-lateralorbitofrontal	96.65100000000001	6491.6
Right-wm-lingual	87.6568	5324.6
Right-wm-medialorbitofrontal	97.0713	3659.4
Right-wm-middletemporal	88.1916	5790.4
Right-wm-parahippocampal	88.2094	1469.3
Right-wm-paracentral	95.8051	4503.2
Right-wm-parsopercularis	95.64	2635.2
Right-wm-parsorbitalis	88.31299999999999	1250.1
Right-wm-parstriangularis	94.9438	3148.5
Right-wm-pericalcarine	88.6932	3063.7
Right-wm-postcentral	92.2165	6019.5
Right-wm-posteriorcingulate	99.7795	4678.2
Right-wm-precentral	93.3088	11623.9
Right-wm-precuneus	96.9312	8195.8
Right-wm-rostralanteriorcingulate	100.4838	1768.6
Right-wm-rostralmiddlefrontal	94.6903	11351.8
Right-wm-superiorfrontal	94.0955	16285.0
Right-wm-superiorparietal	94.0754	11469.5
Right-wm-superiortemporal	91.4715	6801.1
Right-wm-supramarginal	97.3286	7519.3
Right-wm-frontalpole	90.292	337.2
Right-wm-temporalpole	76.3241	640.4
Right-wm-transversetemporal	94.1949	574.6
Right-wm-insula	92.4244	8655.4
Left-UnsegmentedWhiteMatter	101.5924	32540.0
Right-UnsegmentedWhiteMatter	100.1205	31503.1
